MLY,2r58,2.0,2007
PRP,3c2f,1.9956786262173574,2008
GF4,3g2y,2.0,2009
3HP,3pce,2.0,1998
TDR,4qsu,2.0,2014
THM,4qsv,2.0,2014
833,3ao4,2.070581074285707,2011
AMP,4cs9,2.0969100130080562,2014
PLS,2w8w,2.1249387366083,2009
GV9,3gv9,2.1249387366083,2009
2PG,4tim,2.161150909262745,1992
GF7,3gqz,2.1739251972991736,2009
DK5,3l7d,2.183758700008217,2010
I2E,4ahr,2.1870866433571443,2012
AKH,4ahs,2.193820026016113,2012
2C9,4mre,2.193820026016113,2014
RNS,1x8d,2.2104192878355744,2005
5GP,4g0z,2.212539525481585,2012
HCP,1m0n,2.221848749616356,2002
FCB,2aac,2.221848749616356,1997
CIT,4aci,2.221848749616356,2012
OMD,1ajp,2.2328441339178196,1997
BBY,3ao5,2.2291479883578558,2011
149,3i3b,2.2291479883578558,2010
PAE,1ew8,2.2596373105057563,2002
BZX,3ao1,2.2596373105057563,2011
2L1,4np2,2.2596373105057563,2014
PEA,1uto,2.2740883677049517,2004
ICO,4ahu,2.2676062401770314,2012
KIF,1ps3,2.283996656365201,2003
B85,3ip8,2.283996656365201,2009
0HN,4ddk,2.2924298239020637,2013
IPT,3dyo,2.3010299956639813,2008
CIT,3kgq,2.3010299956639813,2010
ABV,3mhw,2.2984320149440727,2010
4HP,3pcg,2.3010299956639813,1998
ADP,3rv4,2.3010299956639813,2011
AMP,4g0y,2.3018994543766103,2012
FB2,4jsz,2.3010299956639813,2013
MPM,1m0o,2.309803919971486,2002
CGB,4iie,2.337242168318426,2013
GTC,3gtc,2.346787486224656,2009
GZ2,3g2z,2.3565473235138126,2009
149,3t0d,2.3665315444204134,2012
2AM,6rnt,2.3665315444204134,1993
8PA,3f6e,2.382999658879101,2008
HMN,1f73,2.3872161432802645,2000
964,1nwl,2.3872161432802645,2003
U5P,3dxg,2.3979400086720375,2009
DKZ,3l7b,2.396855627379818,2010
CHT,1oba,2.4436974992327127,2003
TAA,2i2b,2.4436974992327127,2007
DK4,3l7c,2.4353339357479107,2010
2AI,3mjl,2.4436974992327127,2010
DKX,3l79,2.4609239012072233,2010
0HO,4ddm,2.4559319556497243,2013
MAE,1tok,2.468521082957745,2004
PRA,1utl,2.4672456210075024,2004
BEZ,1gyx,2.4814860601221125,2002
0OC,4efk,2.494850021680094,2013
1U5,4kz7,2.494850021680094,2014
HAA,1ai4,2.5044556624535517,1997
G30,3g30,2.5086383061657274,2009
ADP,3bf1,2.5228787452803374,2008
GF4,3gr2,2.5228787452803374,2009
Z70,3mfv,2.5228787452803374,2010
149,3vdb,2.518557371497695,2012
C5P,4g0q,2.5228787452803374,2012
LZ6,4hj2,2.530177984021837,2013
LEU,3b3s,2.5528419686577806,2007
MPV,3ovn,2.5528419686577806,2011
LAT,1gwv,2.571865205971211,2003
4AZ,3kgp,2.571865205971211,2009
3GV,3gvb,2.585026652029182,2009
ASP,4o3c,2.5900668766687054,2014
MLZ,2r5a,2.6020599913279625,2007
94W,4up5,2.6020599913279625,2014
2MY,3f37,2.619788758288394,2009
GPF,3fk1,2.616184634019569,2009
AAN,1ajn,2.6345120151091,1997
6P3,4i8x,2.638272163982407,2013
ACP,3a1e,2.657577319177794,2009
GSH,3lvw,2.6736641390712483,2010
5H1,4b3c,2.6777807052660805,2013
5MI,4b3d,2.6777807052660805,2013
F01,3elc,2.694648630553376,2009
EOP,2fzc,2.701146923590293,2006
2KT,2uyn,2.6989700043360187,2007
AEF,3bra,2.6989700043360187,2008
MPJ,1pfu,2.721246399047171,2004
3PP,2rkd,2.721246399047171,2008
SIA,2qwb,2.7399286120149253,1998
MLZ,2vyt,2.7351821769904636,2008
TTN,4m6u,2.744727494896694,2014
AMG,4ndu,2.744727494896694,2014
VSO,1rql,2.7471469690201067,2004
23B,4bt5,2.7644715530924513,2013
DEZ,2bet,2.769551078621726,2004
M3S,3fcq,2.769551078621726,2009
1U1,4kz3,2.769551078621726,2014
ABN,2bza,2.8013429130455774,1999
C5P,3djx,2.8074604226852813,2009
M4S,3lka,2.8239087409443187,2010
4CS,3ppr,2.8239087409443187,2011
BZI,4dsu,2.8239087409443187,2012
CAQ,4k7i,2.8239087409443187,2014
PGA,3moh,2.835647144215563,2010
ZT2,3zt2,2.843148098929989,2012
